"MATERIAL","CHAR","CHARVALUE","ACTIVE"
"30ATCTO1WW","EPCOUNTRY","ESTONIA_LATVIA_LITHUANIA","X"
"30ATCTO1WW","EPCOUNTRY","FINLAND","X"
"30ATCTO1WW","EPCOUNTRY","FRANCE","X"
"30ATCTO1WW","EPCOUNTRY","GERMANY","X"
"30ATCTO1WW","EPCOUNTRY","GREECE","X"
"30ATCTO1WW","EPCOUNTRY","HONG_KONG","X"
"30ATCTO1WW","EPCOUNTRY","HUNGARY","X"
"30ATCTO1WW","EPCOUNTRY","ICELAND","X"
"30ATCTO1WW","EPCOUNTRY","INDIA","X"
"30ATCTO1WW","EPCOUNTRY","INDONESIA","X"
"30ATCTO1WW","EPCOUNTRY","IRELAND","X"
"30ATCTO1WW","EPCOUNTRY","ISRAEL","X"
"30ATCTO1WW","EPCOUNTRY","ITALY","X"
"30ATCTO1WW","EPCOUNTRY","JAPAN","X"
"30ATCTO1WW","EPCOUNTRY","KOREA","X"
"30ATCTO1WW","EPCOUNTRY","LEBANON","X"
"30ATCTO1WW","EPCOUNTRY","LUXEMBOURG","X"
"30ATCTO1WW","EPCOUNTRY","MALAYSIA","X"
"30ATCTO1WW","EPCOUNTRY","MEXICO","X"
"30ATCTO1WW","EPCOUNTRY","MIDDLE_EAST","X"
"30ATCTO1WW","EPCOUNTRY","MOROCCO","X"
"30ATCTO1WW","EPCOUNTRY","MOZAMBIQUE","X"
"30ATCTO1WW","EPCOUNTRY","NETHERLANDS","X"
"30ATCTO1WW","EPCOUNTRY","NEW_ZEALAND","X"
"30ATCTO1WW","EPCOUNTRY","NORDICS","X"
"30ATCTO1WW","EPCOUNTRY","NORWAY","X"
"30ATCTO1WW","EPCOUNTRY","PAKISTAN","X"
"30ATCTO1WW","EPCOUNTRY","PARAGUAY","X"
"30ATCTO1WW","EPCOUNTRY","PERU","X"
"30ATCTO1WW","EPCOUNTRY","PHILIPPINES","X"
"30ATCTO1WW","EPCOUNTRY","POLAND","X"
"30ATCTO1WW","EPCOUNTRY","PORTUGAL","X"
"30ATCTO1WW","EPCOUNTRY","ROMANIA","X"
