"MATERIAL","CHAR","CHARVALUE"
"30ATCTO1WW","EP2ND_RAID_ARRAY","RAID 5_3 HDDS MIN"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","9.5MM BLU_RAY DVD BURNER DOS"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","9.5MM BLU_RAY DVD BURNER WIN10"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","9.5MM BLU_RAY DVD BURNER WIN7"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","9.5MM DVD ROM_DOS"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","9.5MM DVD ROM_WIN10"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","9.5MM DVD ROM_WIN7"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","9.5MM DVDBURNER_CD_RW DOS"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","9.5MM DVDBURNER_CD_RW W10"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","9.5MM DVDBURNER_CD_RW W7"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","NONE"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","SLIM_DVD_RAMBO_9.5MM_NO_OS_JPN"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","SLIM_DVD_RAMBO_9.5MM_W10_JPN"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","SLIM_DVD_RAMBO_9.5MM_W7_JPN"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","SLIM_DVD_ROM_9.5MM_NO_OS_JPN"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","SLIM_DVD_ROM_9.5MM_W10_JPN"
"30ATCTO1WW","EP2ND_ULTRASLIM_ODD","SLIM_DVD_ROM_9.5MM_W7_JPN"
"30ATCTO1WW","EP2NDHDD_SELECTION_SIZE","2.5"
"30ATCTO1WW","EP2NDHDD_SELECTION_SIZE","3.5"
"30ATCTO1WW","EP2NDHDD_SELECTION_SIZE","NONE"
"30ATCTO1WW","EPADOBE_ACROBAT","ADOBE ACROBAT DC PROFESSIONAL"
"30ATCTO1WW","EPADOBE_ACROBAT","ADOBE ACROBAT DC STANDRD_EN"
"30ATCTO1WW","EPADOBE_ACROBAT","NONE"
"30ATCTO1WW","EPADOBESW","ADOBE PHOTOSHOP ELEMENTS 13.0"
"30ATCTO1WW","EPADOBESW","ADOBE PS_PREMIERE ELEMENTS13.0"
"30ATCTO1WW","EPADOBESW","ADOBE_PHOTOSHOP_ELEMENTS_14.0"
"30ATCTO1WW","EPADOBESW","ADOBE_PS_PREMIERE_ELEMENTS14.0"
"30ATCTO1WW","EPADOBESW","ADOBE_PSE_PE_V15"
"30ATCTO1WW","EPADOBESW","ADOBE_PSE_V15"
"30ATCTO1WW","EPADOBESW","NO_ADOBE"
"30ATCTO1WW","EPAUDIO","INTEGRATED AUDIO"
"30ATCTO1WW","EPAUDIO","SOUND BLASTER Z AUDIO CARD"
"30ATCTO1WW","EPBRACKETKIT","NONE"
"30ATCTO1WW","EPC2SWITCH","INTRUSION SWITCH"
"30ATCTO1WW","EPC2SWITCH","NO_CHASIS INTRUSION SWITCH"
"30ATCTO1WW","EPCABLELOCK","CABLE LOCK"
"30ATCTO1WW","EPCABLELOCK","NO_CABLE LOCK"
"30ATCTO1WW","EPCONVERSIONKIT","NONE"
"30ATCTO1WW","EPCOUNTRY","AFRICA_FRENCH_PORTUGUESE"
"30ATCTO1WW","EPCOUNTRY","AFRICA_UK"
"30ATCTO1WW","EPCOUNTRY","ALGERIA"
"30ATCTO1WW","EPCOUNTRY","ARGENTINA"
"30ATCTO1WW","EPCOUNTRY","AUSTRALIA"
"30ATCTO1WW","EPCOUNTRY","AUSTRIA"
"30ATCTO1WW","EPCOUNTRY","BANGLADESH"
"30ATCTO1WW","EPCOUNTRY","BELGIUM"
"30ATCTO1WW","EPCOUNTRY","BOLIVIA"
"30ATCTO1WW","EPCOUNTRY","BRAZIL"
"30ATCTO1WW","EPCOUNTRY","BRUNEI"
"30ATCTO1WW","EPCOUNTRY","BULGARIA"
"30ATCTO1WW","EPCOUNTRY","CANADA"
"30ATCTO1WW","EPCOUNTRY","CHILE"
"30ATCTO1WW","EPCOUNTRY","CHINA"
"30ATCTO1WW","EPCOUNTRY","CIS"
"30ATCTO1WW","EPCOUNTRY","COLOMBIA"
"30ATCTO1WW","EPCOUNTRY","CROATIA"
"30ATCTO1WW","EPCOUNTRY","CYPRUS"
"30ATCTO1WW","EPCOUNTRY","CZECH_REPUBLIC"
"30ATCTO1WW","EPCOUNTRY","DENMARK"
"30ATCTO1WW","EPCOUNTRY","ECUADOR"
"30ATCTO1WW","EPCOUNTRY","EGYPT"
"30ATCTO1WW","EPCOUNTRY","ESTONIA_LATVIA_LITHUANIA"
"30ATCTO1WW","EPCOUNTRY","FINLAND"
"30ATCTO1WW","EPCOUNTRY","FRANCE"
"30ATCTO1WW","EPCOUNTRY","GERMANY"
"30ATCTO1WW","EPCOUNTRY","GREECE"
"30ATCTO1WW","EPCOUNTRY","HONG_KONG"
"30ATCTO1WW","EPCOUNTRY","HUNGARY"
"30ATCTO1WW","EPCOUNTRY","ICELAND"
"30ATCTO1WW","EPCOUNTRY","INDIA"
"30ATCTO1WW","EPCOUNTRY","INDONESIA"
"30ATCTO1WW","EPCOUNTRY","IRELAND"
"30ATCTO1WW","EPCOUNTRY","ISRAEL"
"30ATCTO1WW","EPCOUNTRY","ITALY"
"30ATCTO1WW","EPCOUNTRY","JAPAN"
"30ATCTO1WW","EPCOUNTRY","KOREA"
"30ATCTO1WW","EPCOUNTRY","LEBANON"
"30ATCTO1WW","EPCOUNTRY","LUXEMBOURG"
"30ATCTO1WW","EPCOUNTRY","MALAYSIA"
"30ATCTO1WW","EPCOUNTRY","MEXICO"
"30ATCTO1WW","EPCOUNTRY","MIDDLE_EAST"
"30ATCTO1WW","EPCOUNTRY","MOROCCO"
"30ATCTO1WW","EPCOUNTRY","MOZAMBIQUE"
"30ATCTO1WW","EPCOUNTRY","NETHERLANDS"
"30ATCTO1WW","EPCOUNTRY","NEW_ZEALAND"
"30ATCTO1WW","EPCOUNTRY","NORDICS"
"30ATCTO1WW","EPCOUNTRY","NORWAY"
"30ATCTO1WW","EPCOUNTRY","PAKISTAN"
"30ATCTO1WW","EPCOUNTRY","PARAGUAY"
"30ATCTO1WW","EPCOUNTRY","PERU"
"30ATCTO1WW","EPCOUNTRY","PHILIPPINES"
"30ATCTO1WW","EPCOUNTRY","POLAND"
"30ATCTO1WW","EPCOUNTRY","PORTUGAL"
"30ATCTO1WW","EPCOUNTRY","ROMANIA"
"30ATCTO1WW","EPCOUNTRY","RUSSIA"
"30ATCTO1WW","EPCOUNTRY","SAUDI_ARABIA"
"30ATCTO1WW","EPCOUNTRY","SERBIA"
"30ATCTO1WW","EPCOUNTRY","SINGAPORE"
"30ATCTO1WW","EPCOUNTRY","SLOVAKIA"
"30ATCTO1WW","EPCOUNTRY","SLOVENIA"
"30ATCTO1WW","EPCOUNTRY","SOUTH_AFRICA"
"30ATCTO1WW","EPCOUNTRY","SOUTH_EAST_EUROPE"
"30ATCTO1WW","EPCOUNTRY","SPAIN"
"30ATCTO1WW","EPCOUNTRY","SRI_LANKA"
"30ATCTO1WW","EPCOUNTRY","SWEDEN"
"30ATCTO1WW","EPCOUNTRY","SWITZERLAND"
"30ATCTO1WW","EPCOUNTRY","TAIWAN"
"30ATCTO1WW","EPCOUNTRY","THAILAND"
"30ATCTO1WW","EPCOUNTRY","TURKEY"
"30ATCTO1WW","EPCOUNTRY","UAE"
"30ATCTO1WW","EPCOUNTRY","UK"
"30ATCTO1WW","EPCOUNTRY","UKRAINE"
"30ATCTO1WW","EPCOUNTRY","URUGUAY"
"30ATCTO1WW","EPCOUNTRY","USA"
"30ATCTO1WW","EPCOUNTRY","VENEZUELA"
"30ATCTO1WW","EPCOUNTRY","VIETNAM"
"30ATCTO1WW","EPCPU","INTEL CORE I3_6100 3.7GHZ"
"30ATCTO1WW","EPCPU","INTEL CORE I3_6300 3.8GHZ"
