"CHAR","CHARVALUE","LANGUAGE","DESC"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","16XMINIDP_TO_DVI_SL_CONVERTER","E","16xMiniDP to DVI SL Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","2XMINI DP TO DP DONGLE","E","2xMini DP to DP dongle"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","2XMINI DP TO HDMI CONVERTER","E","2xMini DP to HDMI Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","2XMINI_DP_TO_DP","E","2xMini DP to DP"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","2XMINI_DP_TO_DVI_SL","E","2xMini DP to DVI SL"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","2XMINI_DP_TO_HDMI","E","2xMini DP to HDMI"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","2XMINI_DP_TO_VGA","E","2xMini DP to VGA"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","2XMINIDP TO DVI SL CONVERTER","E","2xMiniDP to DVI (SL) Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","3XMINI DP TO DP DONGLE","E","3xMini DP to DP dongle"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","3XMINI DP TO HDMI CONVERTER","E","3xMini DP to HDMI Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","3XMINI_DP_TO_DP","E","3xMini DP to DP"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","3XMINI_DP_TO_DVI_SL","E","3xMini DP to DVI SL"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","3XMINI_DP_TO_HDMI","E","3xMini DP to HDMI"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","3XMINI_DP_TO_VGA","E","3xMini DP to VGA"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","3XMINIDP TO DVI SL CONVERTER","E","3xMiniDP to DVI (SL) Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","4XMINI DP TO DP DONGLE","E","4xMini DP to DP dongle"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","4XMINI DP TO HDMI CONVERTER","E","4xMini DP to HDMI Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","4XMINI_DP_TO_DP","E","4xMini DP to DP"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","4XMINI_DP_TO_DVI_SL","E","4xMini DP to DVI SL"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","4XMINI_DP_TO_HDMI","E","4xMini DP to HDMI"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","4XMINI_DP_TO_VGA","E","4xMini DP to VGA"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","4XMINIDP TO DVI SL CONVERTER","E","4xMiniDP to DVI (SL) Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","5XMINI DP TO DP DONGLE","E","5xMini DP to DP dongle"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","5XMINI DP TO HDMI CONVERTER","E","5xMini DP to HDMI Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","5XMINI_DP_TO_DP","E","5xMini DP to DP"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","5XMINI_DP_TO_DVI_SL","E","5xMini DP to DVI SL"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","5XMINI_DP_TO_HDMI","E","5xMini DP to HDMI"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","5XMINI_DP_TO_VGA","E","5xMini DP to VGA"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","5XMINIDP TO DVI SL CONVERTER","E","5xMiniDP to DVI (SL) Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","6XMINI DP TO DP DONGLE","E","6xMini DP to DP dongle"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","6XMINI DP TO HDMI CONVERTER","E","6xMini DP to HDMI Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","6XMINI_DP_TO_DP","E","6xMini DP to DP"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","6XMINI_DP_TO_DVI_SL","E","6xMini DP to DVI SL"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","6XMINI_DP_TO_HDMI","E","6xMini DP to HDMI"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","6XMINI_DP_TO_VGA","E","6xMini DP to VGA"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","6XMINIDP TO DVI SL CONVERTER","E","6xMiniDP to DVI (SL) Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","7XMINI DP TO DP DONGLE","E","7xMini DP to DP dongle"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","7XMINI DP TO HDMI CONVERTER","E","7xMini DP to HDMI Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","7XMINI_DP_TO_DP","E","7xMini DP to DP"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","7XMINI_DP_TO_DVI_SL","E","7xMini DP to DVI SL"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","7XMINI_DP_TO_HDMI","E","7xMini DP to HDMI"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","7XMINI_DP_TO_VGA","E","7xMini DP to VGA"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","7XMINIDP TO DVI SL CONVERTER","E","7xMiniDP to DVI (SL) Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","8XMINI DP TO DP DONGLE","E","8xMini DP to DP dongle"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","8XMINI DP TO HDMI CONVERTER","E","8xMini DP to HDMI Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","8XMINI_DP_TO_DP","E","8xMini DP to DP"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","8XMINI_DP_TO_DVI_SL","E","8xMini DP to DVI SL"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","8XMINI_DP_TO_HDMI","E","8xMini DP to HDMI"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","8XMINI_DP_TO_VGA","E","8xMini DP to VGA"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","8XMINIDP TO DVI SL CONVERTER","E","8xMiniDP to DVI (SL) Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","9XMINI_DP_TO_DP_DONGLE","E","9xMini DP to DP dongle"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","9XMINI_DP_TO_HDMI_CONVERTER","E","9xMini DP to HDMI Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","9XMINIDP_TO_DVI_SL_CONVERTER","E","9xMiniDP to DVI (SL) Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","MINI DP TO DP DONGLE","E","Mini DP to DP dongle"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","MINI DP TO DVI SL CONVERTER","E","Mini DP to DVI (SL) Converter"
"EP1ST_GRAPHIC_CARD_MDP_DONGLE","MINI DP TO HDMI CONVERTER","E","Mini DP to HDMI Converter"
